p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
7.171806920044972e-19,0.8896536217621671,0.963,0.759,9.244459119937969e-15,3,Grm7
1.1134683950039717e-18,1.5970141496791743,0.581,0.27,1.4352607611601194e-14,3,Camk2d
3.0702199403314905e-18,1.9185161645398081,0.493,0.208,3.957513503087291e-14,3,Camk4
4.195288596294695e-18,1.0606490160512108,0.846,0.55,5.407727000623862e-14,3,Kcnq5
2.926180160244019e-17,2.1896407169827765,0.338,0.103,3.7718462265545405e-13,3,Ubash3b
4.5790881669372936e-17,1.5570119107313682,0.559,0.256,5.902444647182172e-13,3,Thsd7b
2.584168892156543e-15,1.8972716486448349,0.316,0.096,3.330993701989784e-11,3,Prkd1
4.010503706032305e-15,2.0701661348260307,0.36,0.131,5.1695392770756415e-11,3,Pdzrn3
1.1973951984838769e-14,1.586226637172423,0.426,0.17,1.5434424108457174e-10,3,Maml2
1.1244394255119415e-101,5.038217658780825,0.667,0.051,1.4494024194848927e-97,2,Maf
7.762793668609818e-49,4.880026082605186,0.289,0.017,1.0006241038838055e-44,2,Egfr
6.152510026849953e-47,2.8293612700495028,0.822,0.239,7.93058542460959e-43,2,Nxph1
3.950223836466829e-46,2.6233288510004122,0.878,0.271,5.0918385252057426e-42,2,Tcf4
1.3871618179530463e-42,3.0957990778045232,0.533,0.086,1.7880515833414766e-38,2,Sox6
1.9939246532981584e-33,2.189450855523367,0.922,0.646,2.570168878101326e-29,2,Grip1
5.310446776795846e-30,3.041973911054714,0.444,0.085,6.845165895289846e-26,2,Kcnmb2
2.463498198007432e-28,2.2750893122512377,0.833,0.415,3.17544917723158e-24,2,Erbb4
2.980497992015812e-24,2.8302269389373977,0.433,0.099,3.8418619117083817e-20,2,Zfp536
6.553346445391262e-18,1.513794851164473,0.833,0.58,8.447263568109336e-14,2,Xkr4
1.9484014419152608e-15,1.8453420371335356,0.5,0.181,2.5114894586287713e-11,2,Kcnip1
2.8595681259548927e-14,1.2956514892108562,0.811,0.532,3.6859833143558566e-10,2,Gria4
7.255245090318588e-14,0.9790465168312386,0.933,0.733,9.35201092142066e-10,2,Dlgap1
1.4859172474779992e-13,1.7427152292234063,0.478,0.176,1.9153473319991408e-9,2,Zeb2
6.997981892455609e-13,2.6781887590640894,0.467,0.198,9.02039865937528e-9,2,Il1rapl2
3.1589651515628413e-12,2.0625516798283314,0.333,0.1,4.071906080364502e-8,2,LOC108350387
5.895810324219549e-12,0.7371571242089754,0.989,0.912,7.599699507918998e-8,2,Nrxn3
7.842715200273416e-11,1.9308455546937955,0.4,0.162,1.0109259893152433e-6,2,Myo16
1.8510893217074073e-10,1.452620266060788,0.644,0.384,2.386054135680848e-6,2,Ptprt
2.2851079723500062e-10,1.145476788264352,0.733,0.507,2.945504176359158e-6,2,Dlgap2
