p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.8036263193900017e-8,0.6091801363991693,0.477,0.249,2.3248743256937122e-4,7,Scn8a
2.057731288093133e-8,0.49183648705230665,0.556,0.319,2.652415630352049e-4,7,Caln1
2.0964484911821277e-8,0.6470714412682264,0.36,0.178,2.7023221051337623e-4,7,LOC103690480
2.232931066965805e-8,0.5074657531356013,0.561,0.308,2.878248145318923e-4,7,Slc4a10
2.4196263700107894e-8,0.41169528829078317,0.514,0.275,3.1188983909439074e-4,7,Fat3
3.323465139445957e-8,0.4091597728970895,0.477,0.247,4.2839465647458386e-4,7,Eif4g3
3.6140970897754924e-8,0.3968004261537472,0.565,0.314,4.65857114872061e-4,7,Pde1a
4.1545353973067224e-8,0.49658193478781587,0.252,0.107,5.355196127128366e-4,7,Mark2
4.297507711781119e-8,0.5179399270749347,0.565,0.335,5.539487440485863e-4,7,Dok6
5.1335957101926486e-8,0.538860427099102,0.313,0.147,6.617204870438324e-4,7,Sybu
6.302603813326263e-8,0.3794128697322152,0.421,0.211,8.124056315377552e-4,7,Me3
7.2829805129528e-8,0.37868713111290875,0.79,0.51,9.38776188119616e-4,7,Dmd
1.0965043850936782e-7,0.5153633184143356,0.458,0.244,0.0014133941523857513,7,Tmem132b
1.3299357372932747e-7,0.44787451590638194,0.379,0.191,0.001714287165371031,7,LOC103690742
1.3735659286486845e-7,0.46146600714145913,0.617,0.386,0.0017705264820281543,7,Samd12
1.400265744011171e-7,0.47257243474590394,0.313,0.15,0.0018049425440303992,7,Plcl2
1.548110513735831e-7,0.3775866203052862,0.682,0.405,0.0019955144522054865,7,Otud7a
1.8226458197093493e-7,0.4096857341486133,0.449,0.235,0.0023493904616053514,7,Ext1
2.2736024426463345e-7,0.5867725563246996,0.28,0.13,0.002930673548571125,7,Phf20l1
2.329951747449913e-7,0.41348256296327657,0.402,0.211,0.003003307802462938,7,Btbd9
2.4398570269937237e-7,0.5409402510132582,0.262,0.119,0.00314497570779491,7,Megf9
2.7296186561572516e-7,0.48670769343169207,0.374,0.192,0.0035184784477866973,7,Dnm1
