barcode,technical_well,seurat_cluster_raw,seurat_tree_cluster,seurat_cluster_legacy_res_1_5,provisional_annotation,nCount_RNA,nFeature_RNA,percent.mt,scanpy_cluster
48_44_10,D12,4,1,4,Unresolved,608,487,0.1644736842105263,4
48_44_35,D12,0,6,2,Unresolved,644,504,0.15527950310559005,1
48_44_36,D12,3,8,3,Unresolved,1814,1107,0.6063947078280044,1
48_44_45,D12,4,1,4,Unresolved,684,533,0.43859649122807015,4
48_44_67,D12,6,4,8,Inhibitory_neuron,486,368,1.2345679012345678,6
48_44_68,D12,5,3,6,Unresolved,722,529,0.41551246537396125,7
48_44_76,D12,1,5,1,Unresolved,1058,727,0.28355387523629494,2
48_45_07,D12,0,6,0,Unresolved,569,463,0,2
48_45_22,D12,0,6,2,Unresolved,1281,861,0.39032006245121,6
48_45_34,D12,2,7,10,Excitatory_neuron,1851,1075,0.05402485143165856,3
48_45_68,D12,0,6,0,Unresolved,343,302,0.5830903790087464,1
48_45_71,D12,1,5,7,Unresolved,423,352,0.2364066193853428,2
48_45_72,D12,4,1,4,Unresolved,1465,1006,0.5460750853242321,4
48_45_78,D12,3,8,3,Unresolved,1097,690,0.5469462169553327,5
48_45_90,D12,0,6,0,Unresolved,437,365,0,1
48_46_05,D12,0,6,2,Unresolved,2030,1196,0.2955665024630542,4
48_46_42,D12,0,6,2,Unresolved,987,680,0.303951367781155,1
48_46_56,D12,3,8,3,Unresolved,1267,787,0.3946329913180742,5
48_46_60,D12,2,7,10,Excitatory_neuron,988,684,0.10121457489878542,3
48_46_67,D12,0,6,0,Unresolved,702,539,0.2849002849002849,1
48_46_96,D12,3,8,3,Unresolved,2226,1283,0.22461814914645103,5
48_47_15,D12,6,4,8,Inhibitory_neuron,577,437,0.17331022530329288,6
48_47_33,D12,0,6,0,Unresolved,582,449,0.859106529209622,1
48_47_56,D12,0,6,0,Unresolved,545,406,0,1
48_47_58,D12,2,7,5,Excitatory_neuron,1184,805,0.33783783783783783,3
48_47_75,D12,2,7,5,Excitatory_neuron,1192,766,0.25167785234899326,3
48_47_84,D12,5,3,6,Unresolved,768,567,0,7
48_48_62,D12,7,2,9,Inhibitory_neuron,568,419,1.056338028169014,8
48_48_64,D12,3,8,3,Unresolved,1500,924,0.2,5
48_48_72,D12,2,7,10,Excitatory_neuron,1391,881,0.07189072609633358,3
48_48_74,D12,2,7,5,Excitatory_neuron,2985,1584,0.23450586264656617,3
48_48_75,D12,6,4,8,Inhibitory_neuron,638,476,0.3134796238244514,6
48_48_76,D12,1,5,7,Unresolved,764,547,0.2617801047120419,2
48_48_93,D12,1,5,1,Unresolved,1057,747,0.28382213812677387,2
48_49_28,D12,0,6,0,Unresolved,365,305,0.547945205479452,1
48_49_32,D12,7,2,9,Inhibitory_neuron,623,447,0,8
48_49_58,D12,1,5,1,Unresolved,570,437,0.17543859649122806,2
48_49_61,D12,5,3,6,Unresolved,526,414,0.19011406844106463,7
48_49_73,D12,1,5,7,Unresolved,425,317,0.2352941176470588,2
48_49_92,D12,3,8,3,Unresolved,608,459,0.6578947368421052,5
48_49_95,D12,4,1,4,Unresolved,838,651,0.11933174224343676,1
48_50_01,D12,0,6,0,Unresolved,647,475,0.46367851622874806,1
48_50_21,D12,2,7,5,Excitatory_neuron,1535,894,0.32573289902280134,3
